date,user_id,netflow,stay_time(s),pv
2019-11-03,13120106,8tPzSeW,101,2
2019-11-03,13120106,nkZd8mT,500,9
2019-11-03,48189697,65Y0DmR,28,5
2019-11-03,57147667,IZvzuBc,540,29
2019-11-03,57147667,Lgb18E3,528,1
2019-11-03,57147667,hFz32AT,171,4
2019-11-03,58068264,mLjIWaM,327,13
2019-11-13,20063470,weg7zZg,10,1
2019-11-13,38489207,FzIpqmX,6693,8
2019-11-13,57147667,IZvzuBc,267,14
2019-11-13,57166867,a6uMw05,28,5
2019-11-13,57871790,m4F2Kp2,4471,22
2019-11-13,57871790,rejHQe1,40,2
2019-11-13,58068264,YZRhWmu,150,3
2019-11-13,58831502,iSOyv3m,8395,1
2019-11-13,58831502,tHQQKOB,47,1
2019-11-13,59040709,bgpGdXm,1242,69
2019-11-23,13120106,nkZd8mT,136,2
2019-11-23,20063470,weg7zZg,130,3
2019-11-23,20063470,yxrdeIS,0,1
2019-11-23,57147667,IZvzuBc,59,4
2019-11-23,57871790,m4F2Kp2,20,2
2019-11-30,13120106,nkZd8mT,83,1
2019-11-30,57147667,2ZOMrEO,11,1
2019-11-30,57871790,m4F2Kp2,0,1
2019-11-20,13120106,nkZd8mT,44,1
2019-11-20,56750324,qE4KE6X,18,1
2019-11-20,57147667,IZvzuBc,349,23
2019-11-20,57871790,m4F2Kp2,308,12
2019-11-20,59040709,bgpGdXm,43,1
2019-11-10,13120106,nkZd8mT,276,5
2019-11-10,20063470,weg7zZg,495,18
2019-11-10,38489207,FzIpqmX,6392,109
2019-11-10,48189697,iDnOZRb,53,3
2019-11-10,56750324,KjTGeDy,880,34
2019-11-10,57147667,IZvzuBc,543,31
2019-11-10,57147667,HX0DqdE,15,2
2019-11-10,57166867,tSKQDMr,319,16
2019-11-10,57166867,a6uMw05,415,26
2019-11-10,57871790,m4F2Kp2,10829,254
2019-11-10,58068264,YZRhWmu,2417,67
2019-11-10,58831502,iSOyv3m,141,8
2019-11-16,13120106,nkZd8mT,0,1
2019-11-16,38489207,FzIpqmX,3,1
2019-11-16,57147667,IZvzuBc,11,1
2019-11-06,13120106,nkZd8mT,1027,6
2019-11-06,56750324,KjTGeDy,20,2
2019-11-06,57147667,363RwAd,7,1
2019-11-06,57147667,IZvzuBc,141,7
2019-11-06,57147667,Sv7uPxq,21,2
2019-11-06,57166867,tSKQDMr,30,1
2019-11-06,57166867,a6uMw05,243,6
2019-11-06,57871790,rejHQe1,485,36
2019-11-06,57871790,m4F2Kp2,6666,222
2019-11-06,58831502,iSOyv3m,62,1
2019-11-26,13120106,nkZd8mT,31,2
2019-11-26,20063470,weg7zZg,826,42
2019-11-26,57147667,IZvzuBc,5,4
2019-11-26,57166867,tSKQDMr,31,1
2019-11-25,20063470,weg7zZg,338,10
2019-11-25,57147667,IZvzuBc,31,1
2019-11-25,57166867,a6uMw05,124,2
2019-11-25,59040709,bgpGdXm,168,13
2019-11-28,13120106,nkZd8mT,46,1
2019-11-28,57147667,2ZOMrEO,35,1
2019-11-28,57166867,tSKQDMr,205,3
2019-11-28,57871790,m4F2Kp2,95,3
2019-11-08,13120106,nkZd8mT,75,5
2019-11-08,20063470,weg7zZg,3945,3
2019-11-08,57147667,IZvzuBc,102,5
2019-11-08,57166867,a6uMw05,1658,46
2019-11-08,57166867,tSKQDMr,776,26
2019-11-08,57871790,m4F2Kp2,11791,126
2019-11-08,57871790,rejHQe1,9,1
2019-11-08,58068264,YZRhWmu,607,5
2019-11-05,13120106,nkZd8mT,381,6
2019-11-05,20063470,weg7zZg,37,4
2019-11-05,48189697,iDnOZRb,15,1
2019-11-05,57147667,IZvzuBc,2880,49
2019-11-05,57147667,Sv7uPxq,90,2
2019-11-05,57147667,F4yVFT1,10,1
2019-11-05,57147667,Lgb18E3,1193,27
2019-11-05,57166867,a6uMw05,2080,65
2019-11-05,57166867,tSKQDMr,44,5
2019-11-05,58068264,mLjIWaM,779,13
2019-11-15,13120106,nkZd8mT,112,3
2019-11-15,13120106,QjcfgR1,118,2
2019-11-15,20063470,weg7zZg,10,2
2019-11-15,38489207,FzIpqmX,0,1
2019-11-15,56750324,qE4KE6X,45,1
2019-11-15,57147667,IZvzuBc,2,2
2019-11-15,57166867,a6uMw05,57,6
2019-11-15,59040709,bgpGdXm,12,1
2019-11-18,20063470,weg7zZg,4779,11
2019-11-18,38489207,FzIpqmX,11,1
2019-11-18,57147667,IZvzuBc,113,5
2019-11-18,57871790,m4F2Kp2,42892,8
2019-11-18,59040709,bgpGdXm,0,1
2019-11-24,20063470,weg7zZg,140,2
2019-11-24,57147667,IZvzuBc,61,3
2019-11-24,57166867,a6uMw05,31,1
2019-11-29,20063470,weg7zZg,474,11
2019-11-29,57147667,2ZOMrEO,11,1
2019-11-14,13120106,nkZd8mT,26294,2
2019-11-14,20063470,weg7zZg,99,1
2019-11-14,38489207,FzIpqmX,147,7
2019-11-14,57147667,IZvzuBc,0,1
2019-11-14,57871790,m4F2Kp2,1656,42
2019-11-14,58831502,tHQQKOB,22,1
2019-11-14,59040709,bgpGdXm,134,11
2019-11-19,13120106,nkZd8mT,66,2
2019-11-19,57147667,IZvzuBc,48,6
2019-11-19,59040709,bgpGdXm,10,3
