id,user_id,netflow_x,num,date,netflow_y,stay_time(s),pv
41,58977166,侠客岛-洪门-祝朋坤-品牌优选,24,2019-11-06,7CaNxPb,694.0,29.0
41,58977166,侠客岛-洪门-祝朋坤-品牌优选,24,2019-11-05,7CaNxPb,46.0,2.0
41,58977166,侠客岛-洪门-祝朋坤-品牌优选,24,2019-11-11,7CaNxPb,36.0,2.0
4,13120106,琅琊阁-吴志祥-新款,24,2019-11-03,8tPzSeW,185.0,3.0
4,13120106,琅琊阁-吴志祥-新款,24,2019-11-03,nkZd8mT,500.0,9.0
4,13120106,琅琊阁-吴志祥-新款,24,2019-11-10,nkZd8mT,266.0,4.0
4,13120106,琅琊阁-吴志祥-新款,24,2019-11-06,nkZd8mT,204.0,8.0
4,13120106,琅琊阁-吴志祥-新款,24,2019-11-08,nkZd8mT,79.0,5.0
4,13120106,琅琊阁-吴志祥-新款,24,2019-11-05,nkZd8mT,330.0,6.0
4,13120106,琅琊阁-吴志祥-新款,24,2019-11-09,nkZd8mT,35.0,1.0
4,13120106,琅琊阁-吴志祥-新款,24,2019-11-04,nkZd8mT,10784.0,12.0
4,13120106,琅琊阁-吴志祥-新款,24,2019-11-07,nkZd8mT,2782.0,42.0
4,13120106,琅琊阁-吴志祥-新款,24,2019-10-30,nkZd8mT,288.0,9.0
4,13120106,琅琊阁-吴志祥-新款,24,2019-11-01,nkZd8mT,362.0,3.0
4,13120106,琅琊阁-吴志祥-新款,24,2019-11-11,nkZd8mT,680.0,8.0
4,13120106,琅琊阁-吴志祥-新款,24,2019-11-02,nkZd8mT,737.0,12.0
39,58670331,灵教-王琦,23,2019-11-03,bgpGdXm,11.0,3.0
39,58670331,灵教-王琦,23,2019-10-27,bgpGdXm,201.0,27.0
39,58670331,灵教-王琦,23,2019-10-27,N6yCqHT,7.0,1.0
39,58670331,灵教-王琦,23,2019-10-31,bgpGdXm,10624.0,3.0
39,58670331,灵教-王琦,23,2019-10-26,bgpGdXm,100.0,18.0
39,58670331,灵教-王琦,23,2019-11-01,bgpGdXm,52.0,6.0
39,58670331,灵教-王琦,23,2019-10-28,bgpGdXm,1829.0,36.0
12,48189697,灵教-蒋祎祎,20,2019-11-03,65Y0DmR,29.0,5.0
12,48189697,灵教-蒋祎祎,20,2019-11-10,iDnOZRb,20.0,3.0
12,48189697,灵教-蒋祎祎,20,2019-10-31,NKZzeEz,286.0,6.0
12,48189697,灵教-蒋祎祎,20,2019-10-31,iDnOZRb,54.0,2.0
12,48189697,灵教-蒋祎祎,20,2019-11-05,iDnOZRb,15.0,1.0
12,48189697,灵教-蒋祎祎,20,2019-11-04,iDnOZRb,46.0,3.0
12,48189697,灵教-蒋祎祎,20,2019-10-30,iDnOZRb,98.0,5.0
12,48189697,灵教-蒋祎祎,20,2019-10-30,NKZzeEz,50.0,3.0
12,48189697,灵教-蒋祎祎,20,2019-11-01,65Y0DmR,9.0,1.0
12,48189697,灵教-蒋祎祎,20,2019-11-01,NKZzeEz,182.0,10.0
