date,user_id,netflow,stay_time(s),pv
2019-11-11,13120106,nkZd8mT,465,7
2019-11-11,20063470,weg7zZg,303,8
2019-11-11,38489207,FzIpqmX,245,28
2019-11-11,56750324,KjTGeDy,597,20
2019-11-11,56750324,qE4KE6X,88,1
2019-11-11,57147667,IZvzuBc,737,42
2019-11-11,57147667,x0Br3N0,6,1
2019-11-11,57147667,rSL1Cyv,0,1
2019-11-11,57147667,hMJVHXZ,9,1
2019-11-11,57166867,a6uMw05,52,3
2019-11-11,57166867,tSKQDMr,171,2
2019-11-11,57871790,m4F2Kp2,3220,122
2019-11-11,58068264,YZRhWmu,79,7
2019-11-11,58068264,qE4KE6X,358,9
2019-11-11,58831502,iSOyv3m,62,3
2019-11-11,58831502,tHQQKOB,67,2
